Country,Destination,Price
Indonesia,Bali,$2500
Thailand,Phuket,$1800
Thailand,Bangkok,$1600
Japan,Tokyo,$3200
Japan,Kyoto,$2900
Vietnam,Da Nang,$1500
Vietnam,Hanoi,$1400
Italy,Rome,$3800
Italy,Florence,$3600
France,Paris,$4100
France,Nice,$3900
Greece,Santorini,$3500
Greece,Athens,$2700
United States,New York,$4500
United States,Los Angeles,$4200
Costa Rica,San Jose,$2200
Spain,Barcelona,$3300
Spain,Madrid,$3100
Portugal,Lisbon,$2800
Mexico,Cancun,$2100
Mexico,Mexico City,$1900
United Kingdom,London,$4300
United Kingdom,Edinburgh,$3700
Netherlands,Amsterdam,$3600
Germany,Berlin,$3400
Switzerland,Zurich,$4800
Austria,Vienna,$3300
Czech Republic,Prague,$2400
Hungary,Budapest,$2300
Croatia,Dubrovnik,$2900
Turkey,Istanbul,$2200
Egypt,Cairo,$2000
Morocco,Marrakech,$2100
South Africa,Cape Town,$3400
United Arab Emirates,Dubai,$3900
Maldives,Male,$5200
Sri Lanka,Colombo,$1700
Malaysia,Kuala Lumpur,$1900
Singapore,Singapore,$3100
South Korea,Seoul,$3000
Philippines,Cebu,$1800
Australia,Sydney,$4600
New Zealand,Auckland,$4700
Fiji,Nadi,$4100
Brazil,Rio de Janeiro,$3300
Argentina,Buenos Aires,$2800
Peru,Cusco,$2600
Colombia,Medellin,$2100
Canada,Vancouver,$3800
Iceland,Reykjavik,$4200
china,beijing,$5000
china,beijing,$5000
china,beijing,$5000
